item_id,current_global_qty,max_global_qty,global_inv_level
88,168,168,1.0
2501,27,27,1.0
3811,24,24,1.0
3454,24,24,1.0
2295,12,12,1.0
3210,120,120,1.0
565,40,40,1.0
1097,20,20,1.0
4339,252,252,1.0
4998,24,24,1.0
98,288,288,1.0
197,8,8,1.0
4637,10,10,1.0
3508,144,144,1.0
4852,72,72,1.0
360,8,8,1.0
1499,6,6,1.0
3805,54,54,1.0
4834,96,96,1.0
4000,14,14,1.0
1353,48,48,1.0
786,20,20,1.0
1806,60,60,1.0
632,60,60,1.0
4523,48,48,1.0
823,90,90,1.0
1644,80,80,1.0
3544,48,48,1.0
927,270,270,1.0
2695,48,48,1.0
4588,96,96,1.0
3486,24,24,1.0
4633,3,3,1.0
706,48,48,1.0
130,240,240,1.0
4001,24,24,1.0
3173,36,36,1.0
600,48,48,1.0
427,18,18,1.0
1521,24,24,1.0
387,24,24,1.0
363,36,36,1.0
6,192,192,1.0
1084,12,12,1.0
280,72,72,1.0
42,84,84,1.0
4130,24,24,1.0
3374,6,6,1.0
2414,30,30,1.0
3336,18,18,1.0
1695,24,24,1.0
4172,12,12,1.0
4519,72,72,1.0
663,48,48,1.0
68,420,420,1.0
3015,96,96,1.0
1785,12,12,1.0
4741,40,40,1.0
2397,112,112,1.0
142,60,60,1.0
3750,20,20,1.0
4491,72,72,1.0
1111,48,48,1.0
2092,16,16,1.0
2853,120,120,1.0
451,24,24,1.0
1035,48,48,1.0
2703,12,12,1.0
3845,30,30,1.0
2844,96,96,1.0
2526,24,24,1.0
4821,36,36,1.0
4169,90,90,1.0
3409,48,48,1.0
3973,12,12,1.0
579,12,12,1.0
378,72,72,1.0
1144,216,216,1.0
792,15,15,1.0
3826,48,48,1.0
3622,28,28,1.0
3232,144,144,1.0
2538,24,24,1.0
884,60,60,1.0
25,360,360,1.0
5094,60,60,1.0
3912,48,48,1.0
4961,36,36,1.0
175,96,96,1.0
512,12,12,1.0
2365,12,12,1.0
889,84,84,1.0
2579,72,72,1.0
3568,108,108,1.0
2392,60,60,1.0
169,48,48,1.0
1078,60,60,1.0
2008,6,6,1.0
821,96,96,1.0
3897,60,60,1.0
782,80,80,1.0
2080,12,12,1.0
3664,40,40,1.0
2569,24,24,1.0
2244,72,72,1.0
2653,24,24,1.0
670,96,96,1.0
873,96,96,1.0
1449,6,6,1.0
665,48,48,1.0
278,48,48,1.0
1476,42,42,1.0
240,288,288,1.0
638,24,24,1.0
3741,20,20,1.0
1883,50,50,1.0
300,288,288,1.0
1614,24,24,1.0
4263,36,36,1.0
1055,288,288,1.0
1951,6,6,1.0
1890,30,30,1.0
1369,24,24,1.0
2445,63,63,1.0
4506,12,12,1.0
28,36,36,1.0
2164,24,24,1.0
3761,180,180,1.0
171,288,288,1.0
3849,288,288,1.0
1536,24,24,1.0
544,64,64,1.0
4464,12,12,1.0
2568,12,12,1.0
